state,action,value
414,0,-101.18401577935306
414,4,-99.92544449073917
414,3,-98.4270267539829
414,5,-96.4256261315567
414,2,-99.04301422568167
314,0,-79.31892260090149
414,1,-9.347435664032266
314,3,-95.15107996571568
314,4,-128.0784557960824
214,0,-97.70544953900901
403,0,-122.0366559095997
303,0,-98.34496055962289
403,1,-1.0472839075989595
403,5,-131.96611328712387
403,3,-140.26692732606605
403,4,-351.8392992020999
203,0,-29.16320905036151
103,0,-24.009568312511817
203,1,8.218949334758088
203,5,-33.018699547624244
303,1,6.3830384624328635
303,4,-102.40667164390162
303,5,-103.41234864141374
403,2,-153.36068982809914
442,0,-48.74653380986715
442,2,-40.63591113233615
442,5,-75.64452601864083
342,0,-62.30331470009141
442,1,2.7273823990040555
422,2,-60.960682658837115
422,3,-43.673169782656004
422,0,-89.87529360032966
442,3,-36.61313779379156
442,4,-101.25714507196022
422,4,-69.84765079620766
422,5,-71.10347171132074
322,0,-29.317019876068855
222,0,-9.501058418341339
322,1,9.12346751995524
422,1,5.419729335289866
342,4,-21.558662479708758
242,0,6.676924742087474
417,0,-16.756982448463155
409,4,9.265757879654306
409,0,-7.584497592422457
409,5,-24.68655409402644
409,3,-13.23789657163636
409,2,-8.23560698892226
417,5,-15.678008578524798
417,2,-13.108109125160619
417,4,-21.71653016871547
417,3,-12.995048021189621
317,0,-13.006137360719114
417,1,10.389048984190483
309,0,8.14700788043963
209,0,7.186255893604864
109,0,5.0035459733708745
209,1,-39.997820225488425
309,1,-29.811988150430885
433,0,-93.67336438742485
333,0,-62.185878767902764
433,1,4.813255964703336
433,4,-117.82665987096132
433,5,-91.81615637479875
453,3,-0.6284996559725481
453,0,-120.57681353975751
453,5,-133.7070036690132
453,2,-118.0894746759229
353,0,-53.594732888528675
453,1,-118.58408750023152
433,2,-92.66163718938753
433,3,-97.0864254340997
453,4,-132.6503215043883
353,3,-46.57227797972861
353,2,-50.308814653382655
353,5,-61.44277858075151
333,3,-82.18789490394275
233,0,-66.77277324419016
333,1,6.829407585100869
233,5,-66.41436687129973
133,0,7.027657528289195
233,1,-65.21481120783395
472,0,-39.21087477103395
372,0,2.6236383426371455
472,1,-33.70531853194865
492,3,0.04444499952978707
492,0,-149.05617387237294
472,2,-29.325309447012316
492,2,-140.72001634988476
